,count
I_LOWERCASE,260
EN_CONTRACTION_SPELLING,247
NUMBERS_IN_WORDS,37
IT_IS,31
POSSESSIVE_APOSTROPHE,24
BEEN_PART_AGREEMENT,23
NON_STANDARD_WORD,17
THE_SUPERLATIVE,13
MISSING_ARTICLE,12
HUMANS_BEINGS,12
LETS_LET,10
IVE_CONTRACTION,10
ONE_PLURAL,10
TO_DO_HYPHEN,7
I_AM_VB,7
A_NNS,7
PHRASE_REPETITION,7
DT_PRP,7
POSSESSIVE_APOSTROPHE_2,6
EN_DIACRITICS_REPLACE_ORTHOGRAPHY_ATLETICO_MADRID,6
A_INFINITIVE,6
CANT,6
EN_MULTITOKEN_SPELLING_TWO,5
ITS_TO_IT_S,5
WIFI,5
FR,4
MISSING_TO_BEFORE_A_VERB,4
MISSING_APOSTROPHE_T,4
THIS_NNS,4
PRP_VBG,3
