lang,count
eng_Latn,190328
yue_Hant,16053
kor_Hang,4856
lit_Latn,4745
zho_Hans,3867
slk_Latn,1553
spa_Latn,1395
por_Latn,1272
jpn_Jpan,1255
fra_Latn,1250
rus_Cyrl,1152
deu_Latn,892
vie_Latn,665
tur_Latn,426
ita_Latn,369
arb_Arab,293
bod_Tibt,264
hun_Latn,225
pol_Latn,183
ron_Latn,161
ces_Latn,134
nld_Latn,125
ind_Latn,115
cat_Latn,98
zho_Hant,64
nob_Latn,56
dan_Latn,55
ukr_Cyrl,45
swe_Latn,44
tha_Thai,39
pes_Arab,32
hrv_Latn,31
lmo_Latn,24
heb_Hebr,23
fin_Latn,23
war_Latn,21
bos_Latn,19
gle_Latn,18
oci_Latn,15
isl_Latn,14
min_Latn,11
sin_Sinh,11
mya_Mymr,11
ast_Latn,9
mkd_Cyrl,9
azb_Arab,9
uzn_Latn,9
est_Latn,8
glg_Latn,8
npi_Deva,8
san_Deva,7
ltz_Latn,7
zul_Latn,6
als_Latn,6
tgl_Latn,6
gom_Deva,6
nno_Latn,5
prs_Arab,5
eus_Latn,5
afr_Latn,5
mar_Deva,5
kal_Latn,5
ceb_Latn,4
krc_Cyrl,4
epo_Latn,4
ace_Latn,4
tam_Taml,4
ell_Grek,4
vec_Latn,4
srp_Cyrl,3
kmr_Latn,3
xho_Latn,3
scn_Latn,3
ckb_Arab,3
urd_Arab,3
zsm_Latn,3
amh_Ethi,2
chv_Cyrl,2
fuv_Latn,2
bel_Cyrl,2
bxr_Cyrl,2
pcm_Latn,2
mri_Latn,2
hau_Latn,2
ilo_Latn,2
bis_Latn,2
hin_Deva,1
nav_Latn,1
slv_Latn,1
kin_Latn,1
tat_Cyrl,1
azj_Latn,1
wol_Latn,1
twi_Latn,1
arn_Latn,1
lin_Latn,1
jav_Latn,1
plt_Latn,1
lao_Laoo,1
ewe_Latn,1
bho_Deva,1
tso_Latn,1
szl_Latn,1
lvs_Latn,1
kat_Geor,1
som_Latn,1
tsn_Latn,1
khm_Khmr,1
sna_Latn,1
dzo_Tibt,1
lim_Latn,1
dik_Latn,1
pap_Latn,1
