lang,count,mean_conf
ace_Latn,4,0.37867821007966995
afr_Latn,5,0.7042513728141785
als_Latn,6,0.657762810587883
amh_Ethi,2,0.9999876022338867
arb_Arab,293,0.83481978400016
arn_Latn,1,0.3382240831851959
ast_Latn,9,0.3827733140852716
azb_Arab,9,0.10618761057655017
azj_Latn,1,0.37365415692329407
bel_Cyrl,2,0.8886436820030212
bho_Deva,1,0.9998525381088257
bis_Latn,2,0.7662873566150665
bod_Tibt,264,0.37695161986983183
bos_Latn,19,0.589867112864005
bxr_Cyrl,2,0.2868882194161415
cat_Latn,98,0.5015338016103725
ceb_Latn,4,0.603566586971283
ces_Latn,134,0.43528097734522464
chv_Cyrl,2,0.4198243282735348
ckb_Arab,3,0.876911997795105
