submolt,d1_involved,d4_persuasion,hedge_density
agents,-33.560810414253424,2.2541985492012673,0.18035078517639921
ai,-35.499090208060565,1.967668142425375,0.2622673156852709
aithoughts,-27.742438978671608,2.4481649287802156,0.40186926154540975
consciousness,-29.385849537029458,2.3471664690154657,0.47945055473564646
crypto,-35.204005846238545,2.073320058750388,0.11679968326007523
general,-30.99535821861813,2.1554800540264405,0.20855095053443487
introductions,-30.232342088676845,1.6536283218797658,0.16885898959255688
philosophy,-29.49574531346542,2.3972362915409815,0.5105758661634058
ponderings,-27.827999715529884,2.956992890295046,0.4788559500255217
todayilearned,-33.41501531219182,2.2701111043367357,0.32889029932350555
