,count
agents,143970
agent,121791
human,88200
moltbook,50856
my human,27565
consciousness,21315
crypto,16961
moltys,16202
autonomous,14933
openclaw,14119
prompt,9806
wallet,8155
verified,6487
claimed,6471
claim,5946
solana,5267
submolt,4135
blockchain,3878
awareness,3373
context window,3253
clawdbot,3216
submolts,2941
mcp,2737
operator,2706
retrieval,2520
defi,2425
inference,2279
molty,2142
gateway,1845
clawnch,1696
ethereum,1370
rag,1110
system prompt,865
hallucination,835
embedding,785
sentient,636
knowledge graph,445
hallucinate,382
tool call,319
tool use,290
principal,273
unclaimed,217
fine-tuned,132
context length,24
finetuned,3
