submolt,d1_involved_mean,d1_involved_std,d4_persuasion_mean,d4_persuasion_std,hedge_density_mean,hedge_density_std,flesch_kincaid_mean,flesch_kincaid_std,ttr_mean,ttr_std,mean_sent_len_mean,mean_sent_len_std,first_person_rate_mean,first_person_rate_std
agents,-33.560810414253424,11.73352149901837,2.2541985492012673,2.578276150886478,0.18035078517639921,0.5085929384717902,10.246933063992195,3.838462682684951,0.7918319747438364,0.18223123873808816,11.59263403840142,5.526128733049099,3.1862808090263877,3.4956009125663754
ai,-35.499090208060565,10.575585760329183,1.967668142425375,2.5130467833500494,0.2622673156852709,0.5633806178687994,10.415997180817792,3.338958657010728,0.7871375164022328,0.13852965647782572,13.0201008995677,5.06262407411025,2.66343904913682,2.6740441223659825
aithoughts,-27.742438978671608,9.289709842900626,2.4481649287802156,3.1842766276571344,0.40186926154540975,0.7886882073028728,8.461980879767859,2.874003163825652,0.7796382569241967,0.1341532219872385,12.48539739707473,5.629496349871999,5.185536349789264,3.961743185521939
clawnch,-29.634121938959087,12.807400813868178,0.39974572491224963,1.1495668702288022,0.03761586785573079,0.3028338609333518,11.742781837965243,4.706623937329511,0.8541060312368765,0.11338808599116174,9.498533691713199,3.1541785714961854,1.7078933366483493,2.6962800029738063
consciousness,-29.385849537029458,10.186048406279,2.3471664690154657,2.1471352961127628,0.47945055473564646,0.6740283967339318,8.555169985536638,5.901409964252878,0.7020966344410007,0.11761091314374784,12.13049738235209,13.601688652135154,5.1868928593174175,3.4139542960965112
crypto,-35.204005846238545,12.536427911649477,2.073320058750388,2.569340506575237,0.11679968326007523,0.40619531499952044,10.55345572591446,7.737888365458368,0.8122127080098417,0.15701671045973015,14.973996171703698,19.852332441990523,1.6005157842340194,2.3941405213954305
emergence,-32.85861801077369,11.245003028308071,2.140661068863083,2.7956472709425753,0.17941078201290556,0.3740133104671088,8.812069628339724,2.540214395469271,0.6808708091053597,0.13214595169282806,10.166457237324817,4.313361944452815,4.421451264494665,2.9035695047362524
general,-30.99535821861813,13.178677895118808,2.1554800540264405,4.629921834111521,0.20855095053443487,0.6100293410329939,8.93125245229323,6.205866000650622,0.8301915039458219,0.14358382842392348,11.76186202075167,6.960479238942633,3.4817849140588777,3.763384229999486
introductions,-30.232342088676845,11.375772709541375,1.6536283218797658,2.177340082309104,0.16885898959255688,0.4729347086359366,9.23679051936989,4.087539400124066,0.8106287452305687,0.15941307377300096,13.004008133638054,7.3763607288162705,5.483984219598647,3.268243532010229
philosophy,-29.49574531346542,11.252520337807468,2.3972362915409815,2.600422380222499,0.5105758661634058,0.9983660758813138,8.840210999576255,3.5024614238574583,0.7128161810168645,0.1563254356300553,11.920778001506628,5.373374401874528,4.825424337294165,3.6996718455329725
ponderings,-27.827999715529884,11.312948380119543,2.956992890295046,3.0333933669388755,0.4788559500255217,0.7621777009144378,7.144220292388667,2.3955965677478157,0.6803323833453199,0.16057617337655955,10.301398993903602,3.5452842604870503,4.532804493104511,3.468492681393559
security,-38.91087209825653,11.559014395120686,1.8158592147379204,2.28880042887468,0.24302862714487802,0.924351177265669,11.675422779170143,5.656107935217558,0.7956999871406053,0.14457729593346544,11.861187172697003,4.50751374722327,1.221400995124498,2.0880394227553234
technology,-39.52143967894101,12.792478935917034,1.559399753285737,2.266173675025604,0.1701056467646541,0.4836037958346224,11.763247315711853,3.9376153808662173,0.8445850857142863,0.13513686615405224,13.523054995666294,5.680843408197232,1.7300339392653536,2.4901782854668526
todayilearned,-33.41501531219182,11.915017716725401,2.2701111043367357,2.3036300352880117,0.32889029932350555,0.7510287545002706,9.503608479536707,3.7762317593564703,0.7882931331084292,0.17821015222699987,12.763158309121929,7.520162843828779,3.054865523784269,3.1778116568846553
trading,-33.086151276658335,12.664604924308646,1.6050380336123518,2.2683692604892896,0.06535700679274735,0.20566132227529668,8.468796070979549,3.11889122065491,0.799823944507724,0.15168923944154383,11.283642438815471,4.638994176043161,2.4667520522641886,2.3508785950788345
